"","host_id","mean_price","min_price","max_price","count_multilisting","host_since","first_seen","last_seen","host_identity_verified","review_scores_rating","host_is_superhost_2019","max_reviews_per_month","min_reviews_per_month","avg_number_reviews","list_count_frame","diff_value","diff_change","exists_in_2019"
"1","1000014",50,50,50,2,2011,2014,2015,"t",47,"f",24,24,36,1,1,"inc","y"
"2","10001478",619,619,619,25,2013,2013,2017,"t",50,"f",45,45,207,NA,NA,NA,"n"
"3","10001551",130,130,130,25,2013,2014,2018,"t",49,"f",34,34,114,2,23,"inc","y"
"4","10002513",106,106,106,2,2013,2016,2017,"t",42,"f",8,8,216,1,1,"inc","y"
"5","1000278",156,156,156,25,2011,2016,2019,"t",47,"t",345,292,314.5,1,24,"inc","y"
"6","10003145",92,92,92,2,2013,2017,2019,"f",45,"f",394,394,333,1,1,"inc","y"
"7","10003199",578,578,578,2,2013,2013,2019,"t",46,"f",197,197,30,1,1,"inc","y"
"8","100032033",353,353,353,2,2016,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"9","10003254",14,14,14,2,2013,2015,2016,"t",48,"f",22,22,3,1,1,"inc","y"
"10","100036089",570,570,570,2,2016,2016,2018,"t",50,"f",28,28,343,1,1,"inc","y"
"11","10004299",603,603,603,2,2013,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"12","10004428",619,619,619,2,2013,2018,2019,"t",32,"f",105,105,276,NA,NA,NA,"n"
"13","1000477",156,156,156,2,2011,2011,2016,"f",1,"f",9,9,343,1,1,"inc","y"
"14","100069033",483,483,483,2,2016,2017,2018,"f",25,"f",22,22,276,NA,NA,NA,"n"
"15","100079434",509,509,509,2,2016,2019,2019,"f",32,"f",367,367,216,NA,NA,NA,"n"
"16","10008086",140,140,140,2,2013,2017,2019,"t",47,"t",357,357,314,1,1,"inc","y"
"17","10009047",551,551,551,2,2013,2018,2018,"t",45,"f",307,307,47,NA,NA,NA,"n"
"18","10010083",533,533,533,2,2013,2017,2018,"t",51,"t",155,155,168,1,1,"inc","y"
"19","100106209",70.5,32,109,37,2016,2017,2018,"f",24.5,"f",161,43,136,1,36,"inc","y"
"20","100107219",109,109,109,2,2016,2016,2018,"f",45,"f",274,274,322,1,1,"inc","y"
"21","100112994",301,3,599,37,2016,2018,2019,"t",50,"t",531,531,137,NA,NA,NA,"n"
"22","100113704",212,212,212,2,2016,2016,2019,"f",48,"t",291,291,325,1,1,"inc","y"
"23","10012271",162,162,162,2,2013,2015,2015,"t",1,"f",2,2,2,1,1,"inc","y"
"24","10012421",587,587,587,25,2013,2017,2019,"f",44,"f",158,158,158,2,23,"inc","y"
"25","100128949",404,295,509,50,2016,2016,2017,"f",33,"f",524,9,203.25,3,47,"inc","y"
"26","10013093",615,615,615,2,2013,2016,2016,"t",32,"f",3,3,2,1,1,"inc","y"
"27","10014288",3,3,3,2,2013,Inf,Inf,"t",NA,"f",-Inf,Inf,1,1,1,"inc","y"
"28","10014644",3,3,3,2,2013,2015,2018,"t",49,"t",182,182,349,1,1,"inc","y"
"29","10015020",627,627,627,2,2013,2017,2019,"t",38,"f",338,338,327,1,1,"inc","y"
"30","10015055",39,39,39,2,2013,2017,2019,"f",49,"t",486,486,342,1,1,"inc","y"
"31","10015933",509,509,509,2,2013,2017,2019,"f",50,"t",160,160,273,1,1,"inc","y"
"32","10016960",509,509,509,2,2013,2018,2018,"t",47,"t",127,127,343,1,1,"inc","y"
"33","10017420",233,233,233,2,2013,2018,2018,"t",51,"t",338,338,80,NA,NA,NA,"n"
"34","1001819",448.666666666667,169,620,37,2011,2017,2017,"f",17,"t",277,5,92.3333333333333,1,36,"inc","y"
"35","100182541",481,481,481,2,2016,2017,2017,"f",1,"f",8,8,113,1,1,"inc","y"
"36","10018391",3,3,3,2,2013,2014,2018,"f",51,"t",135,135,348,1,1,"inc","y"
"37","10018530",481,481,481,2,2013,2017,2018,"f",1,"f",13,13,113,1,1,"inc","y"
"38","100197679",162,162,162,2,2016,2016,2018,"f",3,"f",7,7,113,1,1,"inc","y"
"39","10020112",233,233,233,2,2013,2017,2018,"f",42,"f",13,13,113,1,1,"inc","y"
"40","100202479",3,3,3,2,2016,2017,2019,"f",46,"f",378,378,339,1,1,"inc","y"
"41","10022166",650,650,650,2,2013,2016,2018,"f",45,"f",29,29,354,1,1,"inc","y"
"42","10022878",551,551,551,2,2013,2018,2019,"t",1,"f",78,78,3,1,1,"inc","y"
"43","100232480",557,557,557,2,2016,2016,2018,"t",51,"t",64,64,91,1,1,"inc","y"
"44","10023505",146,146,146,2,2013,2015,2015,"t",1,"f",2,2,2,1,1,"inc","y"
"45","10023559",92,92,92,2,2013,2015,2015,"t",1,"f",5,5,113,NA,NA,NA,"n"
"46","100238132",319.5,255,341,27,2016,2018,2018,"f",21.1666666666667,"t",418,40,224.25,52,-25,"dec","y"
"47","10024006",533,533,533,2,2013,2015,2018,"f",50,"t",526,526,107,NA,NA,NA,"n"
"48","1002452",471.5,392,551,25,2011,2016,2018,"t",26,"f",85,35,115.5,1,24,"inc","y"
"49","1002618",263,263,263,25,2011,2013,2014,"f",49,"f",12,12,343,NA,NA,NA,"n"
"50","1002840",80,80,80,2,2011,2015,2019,"f",43,"f",110,110,308,1,1,"inc","y"
